Name,Distance,Mass,Radius,Brown dwarf,Distance (ly),"Mass
(MJ)","Radius
(RJ)"
Name,Distance,Mass,Radius,Brown dwarf,Distance (ly),"Mass
(MJ)","Radius
(RJ)"
Sun,0.000015813,1,1
Sirius,8.6,2.1,1.71,2MASS J08283419-1309198,,,
Canopus,310,15,71
Alpha Centauri,4.4,1.1,1.2,LHS 102BC,,,
Arcturus,37,1.1,26
Vega,25,2.2,2.7,2MASS J00250365+4759191AB,143,,
Capella,43,2.6,12
Rigel,860,23,78.9,2MASS J00275592+2219328,46.9,,
Procyon,11.4,1.5,1.9
Betelgeuse,640[1],20,950,2MASS J00034227-2822410,,,
Achernar,144,6.7,9.3
Hadar,390,10.5,8.6,DENIS-P J020529.0−115925A,65,,
Altair,17,1.8,1.8
Acrux,320,18,8.9,DENIS-P J020529.0−115925B,65,,
Aldebaran,65,1.5,44
Antares,600,12,680,DENIS-P J020529.0−115925C,65,,
Spica,260,11.43,7.47
Pollux,34,1.9,8.8,2MASS J02511327+0047364,,,
Fomalhaut,25,1.9,1.8
Deneb,"2,600",19,203,DENIS-P J035726.9-441730 [de],130,,
Mimosa,350,16,8.4
Regulus,77,3.8,3.1,SDSSp J042348.57-041403.5 [de],50,,
Adhara,430,12.5,14
Shaula,700,14.5,8.8,2MASS J05591914-1404488 [de],34,,
Castor,52,2.8,2.4
Gacrux,88,1.5,84,2MASS J07003664+3157266 [de],40,,
Bellatrix,240,8.6,5.8
Elnath,130,5,4.2,2MASS J0746425+200032 [fr],49.6,,
Miaplacidus,110,3.5,6.8
Alnilam,"2,000",32,42,2MASSW J0920122+351742 [de],95,,
Gamma Velorum,"1,100",9,6
Alnair,101,4,3.4,2MASSI J1017075+130839 [de],108,,
Alioth,81,2.9,4.2
Alnitak,1050,33,20,SDSS J102109.69-030420.1,95,,
Dubhe,120,4.25,30
Mirfak,590,8.5,68,2MASSW J1146345+223053,89,,
Wezen,"1,600",17,200
Sargas,270,5.7,26,TWA 27A,,,
Kaus Australis,140,3.5,6.8
Avior,630,9,130,TWA 27B,,,
Alkaid,104,6.1,3.4
Menkalinan,81,2.39,2.77,2MASS J12255432-2739466,43,,
Atria,390,7,92
Alhena,109,2.8,3.3,DENIS-P J1228.2-1547,66,,
Peacock,180,5.9,4.8
Alsephina[2],80,2.4,2.9,2MASSW J1239272+551537 [de],119,,
Mirzam,500,13.5,10
Polaris,430,5.4,39,SDSS J151114.66+060742.9 [de],89,,
Alphard,180,3,50
Mintaka,1200,24,16.5,2MASSW J1728114+394859,79,,
Scheat,196,2.1,95
Almaaz,653,15,140,2MASSW J2101154+175658,108,,
Rasalgethi,360,2.8,280
Tau Ceti,11.9,0.783,0.893,2MASS J14112131-2119503,,,
Delta Pavonis,19.92,0.991,1.22
Ran,10.48,0.82,0.74,WISE 0005+3737,23.2,,
V382 Carinae,"8,900",20,485
Eta Carinae,"7,500",100,60–881,WISE 0008-1739,87.1,,
Delta Cephei,887,4.5,44.5
Mu Cephei,"6,000",19.2,972,WISE 0015-4615,48.6,,
Titawin,44.25,1.27,1.48
Rho Cassiopeiae,"8,154",22,636-981,WISE 0031-3840,71.8,,
P Cygni,"5,545",30,76
La Superba,"1,000",,129 - 342,WISE 0032-4946,62.9,,
VV Cephei,"4,900",18.2,"516 - 1,050"
61 Cygni,11.41,0.7,0.665,WISE 0038+2758,36.9,,
R Doradus,178,0.7 - 1.0,298
Polaris Australis,281,1.59,3.74,WISE 0038+8405,101.8,,
R Coronae Borealis,"4,566",0.85,85
54 Piscium,36.1,0.76,0.94,WISE 0040+0900,47.6,,
Mira,300,1.2,370
RW Cephei,"14,000",13.9,"1,158",WISE 0049+0441,62.6,,
Lacaille 8760,12.87,0.6,0.51
V838 Monocerotis,"19,896",?,380 - 750,WISE 0049+2151,24.1,,
HD 140283,190,?,1.4
II Pegasi,130,0.8,3.4,WISE 0106+1518,142.9,,
VY Canis Majoris,"3,900",17,"1,420"
Pistol Star,"25,000",100,320,WISE 0123+4142,67.2,,
S Doradus,"169,000",24,380
UY Scuti,"5,100",7–10,755,WISE 0135+1715,77.3,,
Barnard's Star,5.98,0.14,0.2
Luhman 16,6.52,0.04,?,WISE 0138-0322,57.7,,
Proxima Centauri,4.25,0.12,0.15
KIC 8462852,"1,470",1.43,1.58,WISE 0146+4234,20.5,,
R136a1,"163,000",290,32
Melnick 42,"163,000",189,21.1,WISE 0148-7202,30,,
WR 102,"18,134",19,0.39
VFTS 352,"164,000",57.48,14.47,WISE 0150+3827,61.3,,
YBP 1194,"2,772",1.01,0.99
Gliese 1214,47.5,0.16,0.21,WISE 0206+2640,58.4,,
NML Cygni,"5,251",50,"1,640 - 2,770"
VB 10,18.72,0.075,0.1,WISE 0221+3842,73.1,,
WOH G64,"163,000",<20,"1,540 - 1,730"
TRAPPIST-1,39.6,0.089,0.12,WISE 0223-2932,47,,
2MASS J0523-1403,40.3,0.07,0.086
WISE 0855−0714,7.27,0.003,?,WISE 0226-0211,91,,
Icarus,"14,400,000,000",33,?
